type,ts,symbol_id,mid,account_id,side
T,1700000000031,1,,122,-1
Q,1700000000032,0,1.100097,,
Q,1700000000032,1,150.001967,,
T,1700000000032,0,,75,-1
Q,1700000000033,0,1.100099,,
Q,1700000000033,1,150.000318,,
T,1700000000033,1,,17,1
Q,1700000000034,0,1.100102,,
Q,1700000000034,1,150.001643,,
T,1700000000034,1,,215,1
Q,1700000000035,0,1.100107,,
Q,1700000000035,1,149.997950,,
T,1700000000035,1,,247,1
Q,1700000000036,0,1.100111,,
Q,1700000000036,1,150.001015,,
T,1700000000036,1,,235,1
Q,1700000000037,0,1.100113,,
Q,1700000000037,1,150.000387,,
T,1700000000037,1,,236,-1
Q,1700000000038,0,1.100115,,
Q,1700000000038,1,149.998906,,
T,1700000000038,0,,20,1
Q,1700000000039,0,1.100118,,
Q,1700000000039,1,150.001542,,
T,1700000000039,0,,11,-1
Q,1700000000040,0,1.100121,,
Q,1700000000040,1,149.999004,,
T,1700000000040,0,,16,-1
Q,1700000000041,0,1.100124,,
Q,1700000000041,1,149.998706,,
T,1700000000041,0,,282,-1
Q,1700000000042,0,1.100125,,
Q,1700000000042,1,150.000713,,
T,1700000000042,1,,106,-1
Q,1700000000043,0,1.100128,,
Q,1700000000043,1,149.998823,,
T,1700000000043,0,,146,-1
Q,1700000000044,0,1.100132,,
Q,1700000000044,1,149.999830,,
T,1700000000044,0,,169,1
Q,1700000000045,0,1.100135,,
Q,1700000000045,1,149.997901,,
T,1700000000045,0,,66,-1
Q,1700000000046,0,1.100137,,
Q,1700000000046,1,150.002148,,
T,1700000000046,0,,112,-1
Q,1700000000047,0,1.100143,,
Q,1700000000047,1,150.001285,,
T,1700000000047,1,,223,-1
Q,1700000000048,0,1.100146,,
Q,1700000000048,1,150.001789,,
T,1700000000048,0,,180,-1
Q,1700000000049,0,1.100151,,
Q,1700000000049,1,150.000887,,
T,1700000000049,0,,181,-1
Q,1700000000050,0,1.100147,,
Q,1700000000050,1,149.998311,,
T,1700000000050,1,,203,-1
Q,1700000000051,0,1.100156,,
Q,1700000000051,1,149.999459,,
T,1700000000051,1,,104,1
Q,1700000000052,0,1.100158,,
Q,1700000000052,1,150.000743,,
T,1700000000052,0,,161,-1
Q,1700000000053,0,1.100162,,
Q,1700000000053,1,150.001893,,
T,1700000000053,0,,194,-1
Q,1700000000054,0,1.100164,,
Q,1700000000054,1,149.998491,,
T,1700000000054,0,,228,1
Q,1700000000055,0,1.100167,,
Q,1700000000055,1,149.997478,,
T,1700000000055,1,,176,1
Q,1700000000056,0,1.100164,,
Q,1700000000056,1,149.997089,,
T,1700000000056,0,,94,-1
Q,1700000000057,0,1.100171,,
Q,1700000000057,1,149.999572,,
T,1700000000057,0,,27,-1
Q,1700000000058,0,1.100173,,
Q,1700000000058,1,150.002090,,
T,1700000000058,0,,227,1
Q,1700000000059,0,1.100179,,
Q,1700000000059,1,149.998931,,
T,1700000000059,0,,20,-1
Q,1700000000060,0,1.100178,,
Q,1700000000060,1,150.000208,,
T,1700000000060,1,,97,1
Q,1700000000061,0,1.100185,,
Q,1700000000061,1,150.001088,,
T,1700000000061,1,,54,-1
Q,1700000000062,0,1.100185,,
Q,1700000000062,1,150.001335,,
T,1700000000062,1,,275,1
Q,1700000000063,0,1.100191,,
Q,1700000000063,1,149.999042,,
T,1700000000063,0,,145,1
Q,1700000000064,0,1.100193,,
Q,1700000000064,1,149.998000,,
T,1700000000064,0,,165,1
Q,1700000000065,0,1.100192,,
Q,1700000000065,1,149.997389,,
T,1700000000065,1,,257,-1
Q,1700000000066,0,1.100197,,
Q,1700000000066,1,149.998102,,
T,1700000000066,1,,18,-1
Q,1700000000067,0,1.100201,,
Q,1700000000067,1,150.000352,,
T,1700000000067,1,,107,-1
Q,1700000000068,0,1.100205,,
Q,1700000000068,1,150.001833,,
T,1700000000068,0,,117,1
Q,1700000000069,0,1.100204,,
Q,1700000000069,1,149.997821,,
T,1700000000069,1,,152,1
Q,1700000000070,0,1.100212,,
Q,1700000000070,1,150.002458,,
T,1700000000070,0,,178,-1
Q,1700000000071,0,1.100216,,
Q,1700000000071,1,149.997620,,
T,1700000000071,0,,288,1
Q,1700000000072,0,1.100217,,
Q,1700000000072,1,150.001031,,
T,1700000000072,0,,142,-1
Q,1700000000073,0,1.100219,,
Q,1700000000073,1,150.000989,,
T,1700000000073,0,,287,-1
Q,1700000000074,0,1.100224,,
Q,1700000000074,1,149.997545,,
T,1700000000074,1,,180,1
Q,1700000000075,0,1.100228,,
Q,1700000000075,1,149.997776,,
T,1700000000075,0,,243,1
Q,1700000000076,0,1.100228,,
Q,1700000000076,1,150.001789,,
T,1700000000076,0,,221,-1
Q,1700000000077,0,1.100232,,
Q,1700000000077,1,150.001479,,
T,1700000000077,0,,227,-1
Q,1700000000078,0,1.100232,,
Q,1700000000078,1,150.002657,,
T,1700000000078,1,,88,1
Q,1700000000079,0,1.100233,,
Q,1700000000079,1,150.002061,,
T,1700000000079,0,,247,1
Q,1700000000080,0,1.100238,,
Q,1700000000080,1,150.001230,,
T,1700000000080,1,,1,-1
Q,1700000000081,0,1.100239,,
Q,1700000000081,1,149.998660,,
T,1700000000081,0,,50,-1
Q,1700000000082,0,1.100244,,
Q,1700000000082,1,150.000271,,
T,1700000000082,0,,95,-1
Q,1700000000083,0,1.100253,,
Q,1700000000083,1,149.999240,,
T,1700000000083,0,,5,1
Q,1700000000084,0,1.100252,,
Q,1700000000084,1,150.001336,,
T,1700000000084,0,,9,-1
Q,1700000000085,0,1.100255,,
Q,1700000000085,1,149.999833,,
T,1700000000085,1,,92,1
Q,1700000000086,0,1.100260,,
Q,1700000000086,1,150.002173,,
T,1700000000086,0,,277,-1
Q,1700000000087,0,1.100261,,
Q,1700000000087,1,149.996527,,
T,1700000000087,1,,141,1
Q,1700000000088,0,1.100265,,
Q,1700000000088,1,150.000285,,
T,1700000000088,0,,148,1
Q,1700000000089,0,1.100269,,
Q,1700000000089,1,150.000229,,
T,1700000000089,0,,18,1
Q,1700000000090,0,1.100269,,
Q,1700000000090,1,150.001084,,
T,1700000000090,0,,16,-1
Q,1700000000091,0,1.100275,,
Q,1700000000091,1,149.999796,,
T,1700000000091,0,,123,1
Q,1700000000092,0,1.100274,,
Q,1700000000092,1,149.998967,,
T,1700000000092,0,,201,-1
Q,1700000000093,0,1.100281,,
Q,1700000000093,1,150.004426,,
T,1700000000093,0,,171,-1
Q,1700000000094,0,1.100280,,
Q,1700000000094,1,150.002302,,
T,1700000000094,0,,235,1
Q,1700000000095,0,1.100286,,
Q,1700000000095,1,149.999305,,
T,1700000000095,1,,145,1
Q,1700000000096,0,1.100287,,
Q,1700000000096,1,149.997616,,
T,1700000000096,1,,277,-1
Q,1700000000097,0,1.100290,,
Q,1700000000097,1,149.998440,,
T,1700000000097,0,,28,-1
Q,1700000000098,0,1.100295,,
Q,1700000000098,1,149.999203,,
T,1700000000098,0,,262,-1
Q,1700000000099,0,1.100299,,
Q,1700000000099,1,150.000610,,
T,1700000000099,0,,227,-1
Q,1700000000100,0,1.100300,,
Q,1700000000100,1,149.999481,,
T,1700000000100,1,,44,1
Q,1700000000101,0,1.100305,,
Q,1700000000101,1,150.002943,,
T,1700000000101,0,,100,1
Q,1700000000102,0,1.100307,,
Q,1700000000102,1,150.000125,,
T,1700000000102,1,,260,1
Q,1700000000103,0,1.100307,,
Q,1700000000103,1,150.001172,,
T,1700000000103,1,,262,1
Q,1700000000104,0,1.100312,,
Q,1700000000104,1,150.001187,,
T,1700000000104,1,,199,1
Q,1700000000105,0,1.100313,,
Q,1700000000105,1,149.999800,,
T,1700000000105,0,,291,-1
Q,1700000000106,0,1.100320,,
Q,1700000000106,1,150.001682,,
T,1700000000106,0,,77,-1
Q,1700000000107,0,1.100323,,
Q,1700000000107,1,149.999540,,
T,1700000000107,1,,298,1
Q,1700000000108,0,1.100323,,
Q,1700000000108,1,150.000373,,
T,1700000000108,0,,213,1
Q,1700000000109,0,1.100327,,
Q,1700000000109,1,149.998618,,
T,1700000000109,1,,133,-1
Q,1700000000110,0,1.100330,,
Q,1700000000110,1,149.998950,,
T,1700000000110,1,,242,1
Q,1700000000111,0,1.100331,,
Q,1700000000111,1,150.000643,,
T,1700000000111,0,,70,-1
Q,1700000000112,0,1.100336,,
Q,1700000000112,1,149.999477,,
T,1700000000112,1,,176,-1
Q,1700000000113,0,1.100341,,
Q,1700000000113,1,150.000415,,
T,1700000000113,1,,28,-1
Q,1700000000114,0,1.100343,,
Q,1700000000114,1,149.999383,,
T,1700000000114,1,,179,1
Q,1700000000115,0,1.100344,,
Q,1700000000115,1,149.999712,,
T,1700000000115,0,,36,-1
Q,1700000000116,0,1.100345,,
Q,1700000000116,1,150.000361,,
T,1700000000116,0,,118,1
Q,1700000000117,0,1.100351,,
Q,1700000000117,1,150.001263,,
T,1700000000117,1,,170,-1
Q,1700000000118,0,1.100353,,
Q,1700000000118,1,150.000859,,
T,1700000000118,0,,230,1
Q,1700000000119,0,1.100357,,
Q,1700000000119,1,149.998611,,
T,1700000000119,0,,139,-1
Q,1700000000120,0,1.100359,,
Q,1700000000120,1,150.001371,,
T,1700000000120,1,,33,1
Q,1700000000121,0,1.100363,,
Q,1700000000121,1,149.999771,,
T,1700000000121,0,,49,1
Q,1700000000122,0,1.100369,,
Q,1700000000122,1,149.999405,,
T,1700000000122,0,,188,-1
Q,1700000000123,0,1.100367,,
Q,1700000000123,1,150.001974,,
T,1700000000123,0,,109,-1
Q,1700000000124,0,1.100373,,
Q,1700000000124,1,150.002297,,
T,1700000000124,0,,188,1
Q,1700000000125,0,1.100374,,
Q,1700000000125,1,150.000779,,
T,1700000000125,1,,156,1
Q,1700000000126,0,1.100379,,
Q,1700000000126,1,150.000180,,
T,1700000000126,1,,20,1
Q,1700000000127,0,1.100382,,
Q,1700000000127,1,149.998527,,
T,1700000000127,0,,166,-1
Q,1700000000128,0,1.100385,,
Q,1700000000128,1,150.003097,,
T,1700000000128,1,,28,-1
Q,1700000000129,0,1.100384,,
Q,1700000000129,1,149.998358,,
T,1700000000129,0,,175,-1
Q,1700000000130,0,1.100390,,
Q,1700000000130,1,150.000140,,
T,1700000000130,0,,273,1
Q,1700000000131,0,1.100391,,
Q,1700000000131,1,150.001848,,
T,1700000000131,0,,158,-1
Q,1700000000132,0,1.100395,,
Q,1700000000132,1,150.001550,,
T,1700000000132,1,,156,-1
Q,1700000000133,0,1.100395,,
Q,1700000000133,1,150.001989,,
T,1700000000133,0,,206,1
Q,1700000000134,0,1.100403,,
Q,1700000000134,1,149.998878,,
T,1700000000134,1,,64,-1
Q,1700000000135,0,1.100403,,
Q,1700000000135,1,150.000952,,
T,1700000000135,1,,99,1
Q,1700000000136,0,1.100406,,
Q,1700000000136,1,150.001056,,
T,1700000000136,0,,41,1
Q,1700000000137,0,1.100411,,
Q,1700000000137,1,149.999406,,
T,1700000000137,0,,126,-1
Q,1700000000138,0,1.100418,,
Q,1700000000138,1,150.000845,,
T,1700000000138,1,,10,1
Q,1700000000139,0,1.100416,,
Q,1700000000139,1,150.001490,,
T,1700000000139,0,,261,1
Q,1700000000140,0,1.100418,,
Q,1700000000140,1,149.999664,,
T,1700000000140,1,,203,1
Q,1700000000141,0,1.100422,,
Q,1700000000141,1,150.000013,,
T,1700000000141,0,,140,1
Q,1700000000142,0,1.100424,,
Q,1700000000142,1,149.998681,,
T,1700000000142,0,,248,-1
Q,1700000000143,0,1.100431,,
Q,1700000000143,1,149.999078,,
T,1700000000143,1,,23,1
Q,1700000000144,0,1.100432,,
Q,1700000000144,1,149.998548,,
T,1700000000144,0,,235,-1
Q,1700000000145,0,1.100435,,
Q,1700000000145,1,149.998163,,
T,1700000000145,0,,30,-1
Q,1700000000146,0,1.100439,,
Q,1700000000146,1,150.002211,,
T,1700000000146,0,,111,1
Q,1700000000147,0,1.100441,,
Q,1700000000147,1,149.999211,,
T,1700000000147,0,,165,1
Q,1700000000148,0,1.100444,,
Q,1700000000148,1,149.998528,,
T,1700000000148,0,,157,-1
Q,1700000000149,0,1.100447,,
Q,1700000000149,1,149.997598,,
T,1700000000149,1,,159,1
Q,1700000000150,0,1.100451,,
Q,1700000000150,1,150.000579,,
T,1700000000150,1,,277,1
Q,1700000000151,0,1.100456,,
Q,1700000000151,1,150.001558,,
T,1700000000151,0,,91,1
Q,1700000000152,0,1.100458,,
Q,1700000000152,1,149.999655,,
T,1700000000152,0,,186,1
Q,1700000000153,0,1.100459,,
Q,1700000000153,1,149.998736,,
T,1700000000153,0,,160,-1
Q,1700000000154,0,1.100460,,
Q,1700000000154,1,149.998378,,
T,1700000000154,1,,257,-1
Q,1700000000155,0,1.100465,,
Q,1700000000155,1,149.998988,,
T,1700000000155,0,,165,1
Q,1700000000156,0,1.100467,,
Q,1700000000156,1,150.000867,,
T,1700000000156,1,,79,-1
Q,1700000000157,0,1.100469,,
Q,1700000000157,1,150.000967,,
T,1700000000157,1,,66,-1
Q,1700000000158,0,1.100473,,
Q,1700000000158,1,149.999529,,
T,1700000000158,1,,274,1
Q,1700000000159,0,1.100477,,
Q,1700000000159,1,150.001825,,
T,1700000000159,0,,176,1
Q,1700000000160,0,1.100478,,
Q,1700000000160,1,149.999603,,
T,1700000000160,1,,159,1
Q,1700000000161,0,1.100481,,
Q,1700000000161,1,149.997918,,
T,1700000000161,1,,235,-1
Q,1700000000162,0,1.100485,,
Q,1700000000162,1,150.001387,,
T,1700000000162,0,,276,1
Q,1700000000163,0,1.100487,,
Q,1700000000163,1,150.000356,,
T,1700000000163,1,,21,-1
Q,1700000000164,0,1.100495,,
Q,1700000000164,1,150.001496,,
T,1700000000164,0,,144,1
Q,1700000000165,0,1.100495,,
Q,1700000000165,1,149.997485,,
T,1700000000165,0,,149,-1
Q,1700000000166,0,1.100500,,
Q,1700000000166,1,150.001784,,
T,1700000000166,1,,82,-1
Q,1700000000167,0,1.100504,,
Q,1700000000167,1,150.000951,,
T,1700000000167,0,,243,-1
Q,1700000000168,0,1.100507,,
Q,1700000000168,1,149.999293,,
T,1700000000168,0,,210,1
Q,1700000000169,0,1.100510,,
Q,1700000000169,1,149.999254,,
T,1700000000169,1,,176,1
Q,1700000000170,0,1.100508,,
Q,1700000000170,1,149.998640,,
T,1700000000170,1,,54,1
Q,1700000000171,0,1.100512,,
Q,1700000000171,1,150.002033,,
T,1700000000171,0,,159,-1
Q,1700000000172,0,1.100520,,
Q,1700000000172,1,150.002389,,
T,1700000000172,1,,126,-1
Q,1700000000173,0,1.100517,,
Q,1700000000173,1,150.000848,,
T,1700000000173,0,,244,1
Q,1700000000174,0,1.100519,,
Q,1700000000174,1,149.999470,,
T,1700000000174,0,,9,-1
Q,1700000000175,0,1.100524,,
Q,1700000000175,1,150.001390,,
T,1700000000175,0,,137,-1
Q,1700000000176,0,1.100526,,
Q,1700000000176,1,149.999066,,
T,1700000000176,0,,45,-1
Q,1700000000177,0,1.100530,,
Q,1700000000177,1,149.998691,,
T,1700000000177,1,,26,1
Q,1700000000178,0,1.100534,,
Q,1700000000178,1,149.998317,,
T,1700000000178,1,,12,-1
Q,1700000000179,0,1.100539,,
Q,1700000000179,1,150.000005,,
T,1700000000179,0,,186,-1
Q,1700000000180,0,1.100540,,
Q,1700000000180,1,150.000380,,
T,1700000000180,1,,89,1
Q,1700000000181,0,1.100545,,
Q,1700000000181,1,150.003074,,
T,1700000000181,0,,113,-1
Q,1700000000182,0,1.100548,,
Q,1700000000182,1,150.000457,,
T,1700000000182,1,,190,1
Q,1700000000183,0,1.100552,,
Q,1700000000183,1,149.998649,,
T,1700000000183,1,,3,-1
Q,1700000000184,0,1.100551,,
Q,1700000000184,1,150.001324,,
T,1700000000184,1,,259,1
Q,1700000000185,0,1.100554,,
Q,1700000000185,1,149.999213,,
T,1700000000185,1,,46,1
Q,1700000000186,0,1.100555,,
Q,1700000000186,1,150.002731,,
T,1700000000186,0,,11,1
Q,1700000000187,0,1.100562,,
Q,1700000000187,1,149.999469,,
T,1700000000187,0,,1,1
Q,1700000000188,0,1.100562,,
Q,1700000000188,1,150.000252,,
T,1700000000188,0,,172,1
Q,1700000000189,0,1.100569,,
Q,1700000000189,1,149.999347,,
T,1700000000189,1,,6,-1
Q,1700000000190,0,1.100569,,
Q,1700000000190,1,149.999116,,
T,1700000000190,0,,261,-1
Q,1700000000191,0,1.100573,,
Q,1700000000191,1,149.998135,,
T,1700000000191,1,,39,1
Q,1700000000192,0,1.100574,,
Q,1700000000192,1,149.999588,,
T,1700000000192,1,,63,-1
Q,1700000000193,0,1.100579,,
Q,1700000000193,1,149.999627,,
T,1700000000193,1,,285,-1
Q,1700000000194,0,1.100581,,
Q,1700000000194,1,150.002431,,
T,1700000000194,1,,146,1
Q,1700000000195,0,1.100582,,
Q,1700000000195,1,150.003033,,
T,1700000000195,0,,276,1
Q,1700000000196,0,1.100587,,
Q,1700000000196,1,150.000309,,
T,1700000000196,1,,37,1
Q,1700000000197,0,1.100588,,
Q,1700000000197,1,150.003015,,
T,1700000000197,1,,154,-1
Q,1700000000198,0,1.100595,,
Q,1700000000198,1,150.000704,,
T,1700000000198,0,,277,1
Q,1700000000199,0,1.100594,,
Q,1700000000199,1,150.000225,,
T,1700000000199,1,,159,-1
Q,1700000000200,0,1.100596,,
Q,1700000000200,1,149.999371,,
T,1700000000200,0,,76,-1
Q,1700000000201,0,1.100601,,
Q,1700000000201,1,149.999140,,
T,1700000000201,1,,52,-1
Q,1700000000202,0,1.100608,,
Q,1700000000202,1,149.998011,,
T,1700000000202,1,,62,1
Q,1700000000203,0,1.100609,,
Q,1700000000203,1,149.999389,,
T,1700000000203,1,,88,-1
Q,1700000000204,0,1.100613,,
Q,1700000000204,1,149.997263,,
T,1700000000204,1,,133,-1
Q,1700000000205,0,1.100615,,
Q,1700000000205,1,150.000653,,
T,1700000000205,1,,8,1
Q,1700000000206,0,1.100617,,
Q,1700000000206,1,150.002260,,
T,1700000000206,1,,272,1
Q,1700000000207,0,1.100622,,
Q,1700000000207,1,149.999739,,
T,1700000000207,0,,283,1
Q,1700000000208,0,1.100624,,
Q,1700000000208,1,149.999682,,
T,1700000000208,0,,194,-1
Q,1700000000209,0,1.100623,,
Q,1700000000209,1,149.998184,,
T,1700000000209,0,,249,-1
Q,1700000000210,0,1.100631,,
Q,1700000000210,1,150.004328,,
T,1700000000210,1,,247,1
Q,1700000000211,0,1.100632,,
Q,1700000000211,1,149.999037,,
T,1700000000211,1,,229,-1
Q,1700000000212,0,1.100634,,
Q,1700000000212,1,149.998400,,
T,1700000000212,0,,17,1
Q,1700000000213,0,1.100639,,
Q,1700000000213,1,149.996056,,
T,1700000000213,0,,235,-1
Q,1700000000214,0,1.100639,,
Q,1700000000214,1,149.998605,,
T,1700000000214,1,,140,1
Q,1700000000215,0,1.100641,,
Q,1700000000215,1,150.001179,,
T,1700000000215,0,,294,-1
Q,1700000000216,0,1.100652,,
Q,1700000000216,1,149.997194,,
T,1700000000216,0,,57,1
Q,1700000000217,0,1.100652,,
Q,1700000000217,1,149.998502,,
T,1700000000217,0,,91,1
Q,1700000000218,0,1.100653,,
Q,1700000000218,1,150.001870,,
T,1700000000218,1,,55,-1
Q,1700000000219,0,1.100658,,
Q,1700000000219,1,150.001082,,
T,1700000000219,1,,32,-1
Q,1700000000220,0,1.100663,,
Q,1700000000220,1,150.001177,,
T,1700000000220,1,,229,-1
Q,1700000000221,0,1.100664,,
Q,1700000000221,1,149.998946,,
T,1700000000221,1,,128,1
Q,1700000000222,0,1.100665,,
Q,1700000000222,1,150.000892,,
T,1700000000222,0,,165,-1
Q,1700000000223,0,1.100668,,
Q,1700000000223,1,150.000919,,
T,1700000000223,1,,155,-1
Q,1700000000224,0,1.100673,,
Q,1700000000224,1,149.999416,,
T,1700000000224,0,,149,-1
Q,1700000000225,0,1.100672,,
Q,1700000000225,1,149.998464,,
T,1700000000225,1,,150,-1
Q,1700000000226,0,1.100680,,
Q,1700000000226,1,149.999878,,
T,1700000000226,0,,32,1
Q,1700000000227,0,1.100683,,
Q,1700000000227,1,150.000456,,
T,1700000000227,1,,55,-1
Q,1700000000228,0,1.100684,,
Q,1700000000228,1,149.998374,,
T,1700000000228,0,,57,1
Q,1700000000229,0,1.100689,,
Q,1700000000229,1,149.996326,,
T,1700000000229,1,,147,-1
Q,1700000000230,0,1.100692,,
Q,1700000000230,1,149.998633,,
T,1700000000230,1,,233,1
Q,1700000000231,0,1.100693,,
Q,1700000000231,1,149.998740,,
T,1700000000231,0,,269,-1
Q,1700000000232,0,1.100695,,
Q,1700000000232,1,150.000806,,
T,1700000000232,0,,5,-1
Q,1700000000233,0,1.100702,,
Q,1700000000233,1,150.001497,,
T,1700000000233,1,,212,-1
Q,1700000000234,0,1.100703,,
Q,1700000000234,1,149.999962,,
T,1700000000234,0,,225,1
Q,1700000000235,0,1.100710,,
Q,1700000000235,1,149.999649,,
T,1700000000235,1,,258,1
Q,1700000000236,0,1.100709,,
Q,1700000000236,1,150.000465,,
T,1700000000236,1,,295,-1
Q,1700000000237,0,1.100709,,
Q,1700000000237,1,149.999317,,
T,1700000000237,0,,77,-1
Q,1700000000238,0,1.100713,,
Q,1700000000238,1,149.999374,,
T,1700000000238,1,,216,-1
Q,1700000000239,0,1.100714,,
Q,1700000000239,1,149.998336,,
T,1700000000239,1,,63,-1
Q,1700000000240,0,1.100719,,
Q,1700000000240,1,149.998980,,
T,1700000000240,1,,57,-1
Q,1700000000241,0,1.100724,,
Q,1700000000241,1,149.998772,,
T,1700000000241,1,,212,-1
Q,1700000000242,0,1.100726,,
Q,1700000000242,1,150.001331,,
T,1700000000242,1,,294,-1
Q,1700000000243,0,1.100729,,
Q,1700000000243,1,150.001200,,
T,1700000000243,1,,97,-1
Q,1700000000244,0,1.100730,,
Q,1700000000244,1,149.999592,,
T,1700000000244,1,,108,-1
Q,1700000000245,0,1.100734,,
Q,1700000000245,1,149.998212,,
T,1700000000245,1,,181,1
Q,1700000000246,0,1.100738,,
Q,1700000000246,1,149.998040,,
T,1700000000246,1,,52,-1
Q,1700000000247,0,1.100741,,
Q,1700000000247,1,149.999587,,
T,1700000000247,1,,107,1
Q,1700000000248,0,1.100743,,
Q,1700000000248,1,149.999443,,
T,1700000000248,1,,7,1
Q,1700000000249,0,1.100748,,
Q,1700000000249,1,149.997336,,
T,1700000000249,0,,191,1
Q,1700000000250,0,1.100753,,
Q,1700000000250,1,150.001862,,
T,1700000000250,0,,261,-1
Q,1700000000251,0,1.100754,,
Q,1700000000251,1,150.001934,,
T,1700000000251,0,,17,-1
Q,1700000000252,0,1.100756,,
Q,1700000000252,1,149.999463,,
T,1700000000252,1,,27,-1
Q,1700000000253,0,1.100757,,
Q,1700000000253,1,149.998012,,
T,1700000000253,0,,281,-1
Q,1700000000254,0,1.100763,,
Q,1700000000254,1,150.001797,,
T,1700000000254,1,,59,1
Q,1700000000255,0,1.100766,,
Q,1700000000255,1,149.998176,,
T,1700000000255,0,,129,-1
Q,1700000000256,0,1.100766,,
Q,1700000000256,1,150.000268,,
T,1700000000256,1,,267,-1
Q,1700000000257,0,1.100771,,
Q,1700000000257,1,150.001490,,
T,1700000000257,0,,38,1
Q,1700000000258,0,1.100771,,
Q,1700000000258,1,149.997044,,
T,1700000000258,1,,117,-1
Q,1700000000259,0,1.100776,,
Q,1700000000259,1,150.001918,,
T,1700000000259,0,,36,1
Q,1700000000260,0,1.100778,,
Q,1700000000260,1,149.999324,,
T,1700000000260,1,,298,1
Q,1700000000261,0,1.100782,,
Q,1700000000261,1,149.999586,,
T,1700000000261,1,,59,-1
Q,1700000000262,0,1.100782,,
Q,1700000000262,1,149.999200,,
T,1700000000262,1,,179,1
Q,1700000000263,0,1.100788,,
Q,1700000000263,1,149.999124,,
T,1700000000263,0,,152,-1
Q,1700000000264,0,1.100791,,
Q,1700000000264,1,150.002082,,
T,1700000000264,0,,87,-1
Q,1700000000265,0,1.100793,,
Q,1700000000265,1,149.998499,,
T,1700000000265,0,,259,-1
Q,1700000000266,0,1.100796,,
Q,1700000000266,1,149.997543,,
T,1700000000266,1,,74,-1
Q,1700000000267,0,1.100797,,
Q,1700000000267,1,150.000433,,
T,1700000000267,1,,277,1
Q,1700000000268,0,1.100806,,
Q,1700000000268,1,150.003501,,
T,1700000000268,0,,214,-1
Q,1700000000269,0,1.100806,,
Q,1700000000269,1,150.001387,,
T,1700000000269,0,,175,1
Q,1700000000270,0,1.100809,,
Q,1700000000270,1,149.999040,,
